lens	grade	artifact line	finding	basis	disposition	booking
map	notable	BEGEHUNG-MAP.md (round log)	round TABLE absent: the map predates the 0.3.3 form; minted this round with R1-R3 back-rows whose pre-form cells state unrecorded rather than backfill	checker 2026-09-10 check 2 FAIL (output read, not remembered)	mechanism	table added this round (this commit)
map	notable	BEGEHUNG-MAP.md (axis table)	CROSS-CUTTING row absent (lifecycle of every artifact: home, writer, reader)	checker 2026-09-10 check 5 FAIL	mechanism	row minted this round, dark; rotation candidate R5
map	notable	BEGEHUNG-MAP.md (axis table)	ENFORCER row absent while the record tool emits gating verdicts about desk work; run 3 carries three held-to-own-invariants incidents: F147 latest-line-wins un-declares under a bookkeeping correction, F130 a defective correcting line's own violation unsheddable, F91 the basis-missing repair prescription violates the rule it repairs	run-3 tracker F147/F130/F91, each verified against statiker source at the meta desk 2026-08-26 (OBSERVATIONS that date)	mechanism	row minted this round; fixes long booked st-2/st-3/st-5, build at the seam bundle
map	nit	BEGEHUNG-MAP.md:5-10	declared interval (one round per meta-session week) read against the calendar shows 25 days R3 to R4; the trial pause suspends meta-session weeks, so the declaration was ambiguous about the clock	round-log dates (R3 2026-08-16, R4 2026-09-10); P39/st-1 entry named the overrun	mechanism	interval declaration amended in place: ACTIVE meta-session weeks
map	nit	this round's registration	the R4 row landed after the first anchor greps instead of before the first search: the momentum class the registration rule exists for, self-observed	this session's own call sequence	prose-rest	rule stands; recorded as the miss shape, no booking
value-per-mechanism	notable	SKILL.md:1503-1587	isolated verify leg + verify-gate serve GROUNDING and ATTACKABILITY decisively: V1 caught 4 post-round defects invisible to green suites (2 instrument-class, 2 requirement-letter conflicts), V2 sealed 21/21 with every mutant between passing baselines; economics 2 opus legs for 2 units, the floor the repo's conventions never economize	run-3 F174-F185; V1/V2 digests graded at this desk; close verified at bc5f4727	prose-rest	keep: core value, no change proposed
value-per-mechanism	blocking	SKILL.md:721 vs :1239-1502	red-first EXECUTION is mandated but no RECORDED FORM at the implement/repair moment: F175's red run existed only as docstring prose, formally compliant, caught only by V1; the sole red-recording mandate is the attack-pin clause; a committed red arm (the 8c267ad8 exemplar) is re-executable, prose is not	run-3 F175; SKILL.md grep: red-first at :54,:120,:721 only, none in the Implementation section	mechanism	st-23 (red-recording clause, rides the P32-bundle checkpoint review)
value-per-mechanism	notable	SKILL.md:1384,1429	the landing annotation serves RESUMABILITY and closure gating but nothing forces it at landing time: U2's original landing shipped without one, composed by hand at close from the F164 chain	run-3 F183 with ancestor proof and failing control	mechanism	st-24 (sweep hold for UNIT_COMMITTED without annotation, rides the bundle)
value-per-mechanism	notable	SKILL.md:87-92,1349	the waves partition serves dispatch GROUNDING but its output reads as a scheduling verdict, second incident: D39 execute-set overlap (fixed port 55433, conftest mutated by one lane while the other executes it) invisible to the lexical write-set partition; first incident F98 created-tree ordering	run-3 D39 quoting the verdict; desk measurement	mechanism	st-6 amended: execute-set axis added to the design
value-per-mechanism	notable	SKILL.md:1535-1563	verify results produced OUTSIDE the gate form are invisible at resume: the pre-pause leg's eleven PASS verdicts were hand-carried F-lines and the resumed close could not use them, both legs re-ran; the entry-form R-lines themselves ARE consumed fine by legs (both legs read latest-line-per-R successfully), so P33's loss is gate-legibility of verify RESULTS, not R-lines	run-3 close route (no V-line, verify-gate cannot run) + both legs' successful R1-R19 reads	mechanism	st-8 amended with the datum; design decidable at the bundle
value-per-mechanism	notable	SKILL.md:1400-1451,1589 ff.	unit-start/unit-commit and the close machinery (sweep, closure, lock, leavings exports, budget counter, phase flips) served grounding and record-consistency at LOW COST: verdicts quoted verbatim after one demand, landing-blank hold self-caught, every leaving dispositioned, no misfire; the thin members (budget counter, phase flip) are record-consistency only and cost near zero	run-3 lane digests and close report, verified at artifact bc5f4727	prose-rest	keep as-is, no booking owed
close	notable	rows: Implement/verify/close · Record-tool verdicts · ENFORCER	class EXECUTION-MANDATED-FORM-UNBOUND, compared property: whether a mandated act leaves a gate-legible record at its firing moment — red arms (prose), landing annotations (unforced), verify results (formless pre-gate), and the enforcer incidents share it; the verify leg or a human catches each later	findings rows above (blocking red-form row, annotation row, gate-legibility row) + st-2/st-3/st-5 bodies	mechanism	dispositioned at the seam bundle where st-23/st-24/st-8/st-2/3/5 mint together
